T14,Gross value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
20,Andorra,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.6,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2022,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.5,Data classified according to ISIC Rev. 4.;Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,1995,Industry (% of gross value added),18.8,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2005,Industry (% of gross value added),17.7,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2010,Industry (% of gross value added),14.5,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2015,Industry (% of gross value added),11.2,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2020,Industry (% of gross value added),13.6,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2021,Industry (% of gross value added),13.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2022,Industry (% of gross value added),12.4,Data classified according to ISIC Rev. 4.;Excludes publishing activities. Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,1995,Services (% of gross value added),80.7,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2005,Services (% of gross value added),81.9,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2010,Services (% of gross value added),85.0,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2015,Services (% of gross value added),88.2,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2020,Services (% of gross value added),85.8,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2021,Services (% of gross value added),86.0,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
20,Andorra,2022,Services (% of gross value added),87.0,Data classified according to ISIC Rev. 4.;Includes publishing activities and landscape care. Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",11.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2022,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,1995,Industry (% of gross value added),67.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2005,Industry (% of gross value added),59.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2010,Industry (% of gross value added),52.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2015,Industry (% of gross value added),42.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2020,Industry (% of gross value added),45.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2021,Industry (% of gross value added),47.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2022,Industry (% of gross value added),45.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,1995,Services (% of gross value added),25.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2005,Services (% of gross value added),35.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2010,Services (% of gross value added),41.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2015,Services (% of gross value added),48.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2020,Services (% of gross value added),44.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2021,Services (% of gross value added),41.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
24,Angola,2022,Services (% of gross value added),41.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2022,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,1995,Industry (% of gross value added),14.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2005,Industry (% of gross value added),19.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2010,Industry (% of gross value added),15.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2015,Industry (% of gross value added),15.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2020,Industry (% of gross value added),15.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2021,Industry (% of gross value added),16.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2022,Industry (% of gross value added),12.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,1995,Services (% of gross value added),82.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2005,Services (% of gross value added),77.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2010,Services (% of gross value added),82.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2015,Services (% of gross value added),82.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2020,Services (% of gross value added),83.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2021,Services (% of gross value added),82.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
660,Anguilla,2022,Services (% of gross value added),86.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,1995,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,2020,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,2021,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,2022,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
28,Antigua and Barbuda,1995,Industry (% of gross value added),14.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
