"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2015,121,102,19,0,0,0,0,94,54,32,0,0,0,120,1
"Aberdeen, WA","10140",2015,343,303,40,0,0,0,0,68,51,29,0,0,0,343,0
"Adjuntas, PR","10260",2015,91,80,11,0,0,0,0,64,52,27,0,0,0,91,0
"Adrian, MI","10300",2015,348,201,147,0,0,0,0,92,64,47,0,0,97,251,0
"Akron, OH","10420",2015,365,96,268,1,0,0,0,135,78,57,3,0,24,338,0
"Albany, GA","10500",2015,365,156,208,1,0,0,0,115,69,53,0,0,0,365,0
"Albany, OR","10540",2015,365,272,88,2,3,0,0,189,61,31,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2015,365,250,113,2,0,0,0,107,61,42,0,0,192,173,0
"Albuquerque, NM","10740",2015,365,165,196,4,0,0,0,108,74,51,0,0,237,94,34
"Alexandria, LA","10780",2015,118,87,31,0,0,0,0,69,57,36,0,0,0,118,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2015,365,122,237,6,0,0,0,119,80,56,0,6,71,288,0
"Altoona, PA","11020",2015,365,168,195,2,0,0,0,108,69,52,0,0,92,273,0
"Amarillo, TX","11100",2015,365,278,86,1,0,0,0,128,60,43,0,0,291,74,0
"Americus, GA","11140",2015,245,236,8,1,0,0,0,129,48,34,0,0,245,0,0
"Ames, IA","11180",2015,213,202,11,0,0,0,0,77,48,36,0,0,213,0,0
"Anchorage, AK","11260",2015,365,234,120,10,1,0,0,155,78,40,0,0,88,231,46
"Ann Arbor, MI","11460",2015,365,190,175,0,0,0,0,99,67,49,0,0,121,244,0
"Appleton, WI","11540",2015,362,242,120,0,0,0,0,98,64,43,0,0,140,222,0
"Ardmore, OK","11620",2015,283,215,67,0,1,0,0,152,57,34,0,0,0,283,0
"Arkadelphia, AR","11660",2015,320,305,15,0,0,0,0,87,45,33,0,0,320,0,0
"Asheville, NC","11700",2015,363,229,133,1,0,0,0,101,64,45,0,0,146,217,0
"Ashtabula, OH","11780",2015,210,168,39,3,0,0,0,143,67,41,0,0,210,0,0
"Athens, OH","11900",2015,57,36,21,0,0,0,0,71,59,38,0,0,0,57,0
"Athens, TN","11940",2015,110,72,38,0,0,0,0,67,59,43,0,0,0,110,0
"Athens-Clarke County, GA","12020",2015,358,229,129,0,0,0,0,97,59,44,0,0,98,260,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2015,365,75,274,14,2,0,0,172,90,60,0,1,84,280,0
"Atlantic City-Hammonton, NJ","12100",2015,360,301,57,2,0,0,0,122,58,38,0,0,301,59,0
"Augusta-Richmond County, GA-SC","12260",2015,365,202,162,1,0,0,0,105,62,47,0,0,125,240,0
"Augusta-Waterville, ME","12300",2015,237,216,21,0,0,0,0,93,49,36,0,0,205,23,9
"Austin-Round Rock, TX","12420",2015,365,193,162,10,0,0,0,150,74,49,0,14,138,213,0
"Bakersfield, CA","12540",2015,365,23,220,93,28,1,0,201,146,84,0,0,208,154,3
"Baltimore-Columbia-Towson, MD","12580",2015,365,130,220,14,1,0,0,156,87,56,0,12,128,225,0
"Bangor, ME","12620",2015,364,254,110,0,0,0,0,100,59,42,0,0,157,207,0
"Baraboo, WI","12660",2015,364,273,91,0,0,0,0,96,58,40,0,0,153,209,2
"Barnstable Town, MA","12700",2015,317,289,24,4,0,0,0,122,49,34,0,0,275,42,0
"Baton Rouge, LA","12940",2015,365,70,278,15,2,0,0,156,83,57,0,0,80,285,0
"Bay City, MI","13020",2015,361,220,141,0,0,0,0,82,61,44,0,0,0,361,0
"Beaumont-Port Arthur, TX","13140",2015,365,190,165,9,1,0,0,164,72,49,0,0,156,209,0
"Beaver Dam, WI","13180",2015,365,273,91,1,0,0,0,101,60,41,0,0,234,130,1
"Beckley, WV","13220",2015,25,20,5,0,0,0,0,53,52,32,0,0,0,25,0
"Bellingham, WA","13380",2015,331,279,52,0,0,0,0,91,53,34,0,0,95,236,0
"Bemidji, MN","13420",2015,362,326,34,2,0,0,0,131,50,23,0,0,0,362,0
"Bend-Redmond, OR","13460",2015,365,295,64,5,1,0,0,163,61,37,0,0,125,240,0
"Bennington, VT","13540",2015,365,276,89,0,0,0,0,97,57,39,0,0,226,139,0
"Berlin, NH-VT","13620",2015,354,285,62,7,0,0,0,140,58,45,0,0,344,10,0
"Billings, MT","13740",2015,325,260,64,1,0,0,0,122,54,37,0,0,0,325,0
"Birmingham-Hoover, AL","13820",2015,365,105,254,6,0,0,0,147,74,55,0,2,45,316,2
"Bishop, CA","13860",2015,365,191,153,12,6,0,3,1482,90,49,0,0,265,55,45
"Bismarck, ND","13900",2015,365,288,70,6,1,0,0,156,61,39,0,3,240,121,1
"Blacksburg-Christiansburg-Radford, VA","13980",2015,357,324,33,0,0,0,0,93,50,39,0,0,357,0,0
"Bloomington, IL","14010",2015,363,304,59,0,0,0,0,90,55,37,0,0,305,58,0
"Bloomington, IN","14020",2015,352,224,126,2,0,0,0,115,62,44,0,0,99,253,0
"Boise City, ID","14260",2015,365,212,136,13,4,0,0,172,71,46,0,18,134,197,16
"Boone, NC","14380",2015,226,188,38,0,0,0,0,85,55,30,0,0,0,226,0
"Boston-Cambridge-Newton, MA-NH","14460",2015,365,113,248,3,1,0,0,156,67,54,0,4,56,305,0
"Boulder, CO","14500",2015,365,253,105,7,0,0,0,129,71,44,0,0,327,37,1
"Bowling Green, KY","14540",2015,365,262,103,0,0,0,0,90,58,42,2,0,194,169,0
"Bozeman, MT","14580",2015,365,284,77,3,1,0,0,183,60,29,10,20,0,335,0
"Brainerd, MN","14660",2015,365,299,64,2,0,0,0,137,55,37,0,0,179,186,0
"Branson, MO","14700",2015,263,236,27,0,0,0,0,79,51,34,0,0,180,83,0
"Bremerton-Silverdale, WA","14740",2015,358,333,25,0,0,0,0,84,44,23,0,0,0,358,0
"Bridgeport-Stamford-Norwalk, CT","14860",2015,365,152,183,24,6,0,0,177,93,53,2,0,108,255,0
"Brookings, SD","15100",2015,360,282,76,2,0,0,0,129,60,38,0,0,227,122,11
"Brownsville-Harlingen, TX","15180",2015,365,197,166,2,0,0,0,108,70,48,0,0,86,279,0
"Brunswick, GA","15260",2015,354,276,78,0,0,0,0,67,54,38,0,0,111,243,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2015,365,156,205,4,0,0,0,119,68,52,0,9,90,266,0
"Burlington, NC","15500",2015,153,103,50,0,0,0,0,67,56,42,0,0,0,153,0
"Burlington-South Burlington, VT","15540",2015,365,278,87,0,0,0,0,100,59,39,0,0,212,153,0
"Butte-Silver Bow, MT","15580",2015,365,239,116,4,6,0,0,175,69,39,0,0,0,329,36
"Cadillac, MI","15620",2015,363,272,89,2,0,0,0,112,59,40,0,0,196,167,0
"Cambridge, MD","15700",2015,365,233,131,1,0,0,0,105,67,45,0,0,211,154,0
"Canton-Massillon, OH","15940",2015,365,207,151,7,0,0,0,108,67,46,1,0,91,273,0
"Cape Coral-Fort Myers, FL","15980",2015,365,276,89,0,0,0,0,90,56,40,0,0,134,230,1
"Carlsbad-Artesia, NM","16100",2015,356,262,94,0,0,0,0,97,67,43,0,3,353,0,0
"Carson City, NV","16180",2015,365,268,96,1,0,0,0,144,71,44,0,0,236,129,0
"Casper, WY","16220",2015,365,329,36,0,0,0,0,96,50,41,0,14,338,13,0
"Ca¤on City, CO","15860",2015,57,57,0,0,0,0,0,37,22,11,0,0,0,0,57
"Cedar Rapids, IA","16300",2015,365,195,169,1,0,0,0,112,67,48,0,0,78,285,2
"Centralia, WA","16500",2015,361,311,49,0,1,0,0,154,53,30,0,0,0,361,0
"Chambersburg-Waynesboro, PA","16540",2015,359,340,19,0,0,0,0,77,47,34,0,0,359,0,0
"Champaign-Urbana, IL","16580",2015,365,217,148,0,0,0,0,90,63,46,0,0,151,214,0
